condition,run,seed,mean_beta,popularity_strength,exploration,mu_content,mu_social,mean_epsilon,mean_susceptibility,homophily_strength,rewiring_fraction,rewire_interval,consolidation_strength,dynamic_stubbornness,initial_variance,final_variance,variance_change,initial_pairwise_distance,final_pairwise_distance,pairwise_distance_change,final_extremity,polarization_score,ever_flip_fraction,persistent_flip_fraction,mean_crossings,maximum_crossings,mean_edge_distance,same_side_edge_fraction,final_clustering,mean_beta_level,popularity_strength_level,exploration_level,mu_content_level,mu_social_level,mean_epsilon_level,mean_susceptibility_level,homophily_strength_level,rewiring_fraction_level,rewire_interval_level,consolidation_strength_level
search_003,7,20872,1.0,0.5,0.35,0.25,0.05,0.3,0.65,0.5,0.1,10,0.0,False,0.38745078684412804,0.503821062762988,0.11637027591885996,0.6933205503850062,0.748615917358503,0.055295366973496796,0.7057260372021045,0.5283177447438344,0.01,0.0,0.02,2,0.1437248688181606,0.9366666666666666,0.12447835497835485,weak,moderate,high,moderate,weak,narrow,responsive,weak,rapid,frequent,none
search_004,0,13873,4.0,0.0,0.02,0.1,0.15,0.95,0.45,6.0,0.01,10,0.3,True,0.38745078684412804,0.373236078104169,-0.014214708739959059,0.6933205503850062,0.6898118181555459,-0.003508732229460243,0.5848075636262177,0.4034071687361163,0.13,0.13,0.13,1,0.3023689850039747,0.7986348122866894,0.37526190476190463,moderate,none,rare,weak,moderate,broad,moderate,strong,slow,frequent,moderate
search_004,1,14873,4.0,0.0,0.02,0.1,0.15,0.95,0.45,6.0,0.01,10,0.3,True,0.38745078684412804,0.4114699142288218,0.02401912738469375,0.6933205503850062,0.7002356654788381,0.006915115093831914,0.6282657872449687,0.43993411162906676,0.14,0.14,0.14,1,0.23911146374876552,0.85,0.3985238095238094,moderate,none,rare,weak,moderate,broad,moderate,strong,slow,frequent,moderate
search_004,2,15873,4.0,0.0,0.02,0.1,0.15,0.95,0.45,6.0,0.01,10,0.3,True,0.38745078684412804,0.3628817455639375,-0.02456904128019055,0.6933205503850062,0.6723387869551163,-0.020981763429889888,0.5830770319607678,0.3920253043698922,0.13,0.13,0.13,1,0.27126122624880045,0.8166666666666667,0.3632337662337662,moderate,none,rare,weak,moderate,broad,moderate,strong,slow,frequent,moderate
search_004,3,16873,4.0,0.0,0.02,0.1,0.15,0.95,0.45,6.0,0.01,10,0.3,True,0.38745078684412804,0.4673159089335845,0.07986512208945645,0.6933205503850062,0.7435803834443181,0.05025983305931192,0.6730757206987622,0.5004859024842464,0.12,0.12,0.12,1,0.3233138087574771,0.8033333333333333,0.3785555555555555,moderate,none,rare,weak,moderate,broad,moderate,strong,slow,frequent,moderate
search_004,4,17873,4.0,0.0,0.02,0.1,0.15,0.95,0.45,6.0,0.01,10,0.3,True,0.38745078684412804,0.3858328223164751,-0.0016179645276529486,0.6933205503850062,0.6987054808301201,0.0053849304451139,0.5935930159011334,0.4147466935926026,0.13,0.13,0.13,1,0.23350240274187917,0.84,0.391674603174603,moderate,none,rare,weak,moderate,broad,moderate,strong,slow,frequent,moderate
search_004,5,18873,4.0,0.0,0.02,0.1,0.15,0.95,0.45,6.0,0.01,10,0.3,True,0.38745078684412804,0.38317488293383617,-0.004275903910291867,0.6933205503850062,0.6864893614533188,-0.0068311889316873264,0.6028228077259203,0.41383144434526387,0.17,0.17,0.17,1,0.23293215080518717,0.85,0.3838095238095237,moderate,none,rare,weak,moderate,broad,moderate,strong,slow,frequent,moderate
search_004,6,19873,4.0,0.0,0.02,0.1,0.15,0.95,0.45,6.0,0.01,10,0.3,True,0.38745078684412804,0.42833984753890436,0.040889060694776325,0.6933205503850062,0.7120791079027845,0.01875855751777833,0.6474496764997367,0.46103538805387895,0.11,0.11,0.11,1,0.2893202430256192,0.82,0.34935714285714253,moderate,none,rare,weak,moderate,broad,moderate,strong,slow,frequent,moderate
search_004,7,20873,4.0,0.0,0.02,0.1,0.15,0.95,0.45,6.0,0.01,10,0.3,True,0.38745078684412804,0.4542780918297952,0.06682730498566719,0.6933205503850062,0.7372460492862758,0.04392549890126962,0.6602470809304016,0.4867645519687346,0.12,0.12,0.12,1,0.3256098588757144,0.8066666666666666,0.35904761904761884,moderate,none,rare,weak,moderate,broad,moderate,strong,slow,frequent,moderate
search_005,0,13874,8.0,0.5,0.02,0.1,0.05,0.55,0.65,0.5,0.04,20,0.5,True,0.38745078684412804,0.6290446642014156,0.24159387735728755,0.6933205503850062,0.8245159663122278,0.13119541592722161,0.7919330833371362,0.6529614714623408,0.0,0.0,0.0,0,0.5096794617175353,0.6933333333333334,0.2754444444444442,strong,moderate,rare,weak,weak,moderate,responsive,weak,moderate,moderate,strong
